ID_hecho,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,hrsUntilDisease
2017-0137,PEATON,PEATON,FEMENINO,60.0,2017-11-17 23:59:59.000000000,12.249722222222223
2017-0138,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25.0,2017-11-19 23:59:59.000000000,13.499722222222223
2017-0139,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15.0,2017-11-19 23:59:59.000000000,1.4997222222222222
2017-0140,CONDUCTOR,MOTO,MASCULINO,24.0,2017-11-19 23:59:59.000000000,0.6283333333333333
2017-0141,PEATON,PEATON,FEMENINO,22.0,2017-11-23 23:59:59.000000000,4.249722222222222
2017-0143,CONDUCTOR,AUTO,MASCULINO,50.0,2017-11-25 23:59:59.000000000,2.249722222222222
2017-0144,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50.0,2017-11-26 23:59:59.000000000,17.24972222222222
2017-0145,CONDUCTOR,MOTO,MASCULINO,58.0,2017-11-26 23:59:59.000000000,6.916388888888889
2017-0147,CONDUCTOR,MOTO,MASCULINO,49.0,2017-11-28 23:59:59.000000000,12.749722222222223
2017-0148,PEATON,PEATON,FEMENINO,82.0,2017-11-29 23:59:59.000000000,13.249722222222223
2017-0149,PEATON,PEATON,MASCULINO,13.0,2017-11-30 23:59:59.000000000,11.66638888888889
2017-0150,PEATON,PEATON,MASCULINO,56.0,2017-12-04 23:59:59.000000000,22.74972222222222
2017-0151,PEATON,PEATON,MASCULINO,46.0,2017-12-04 23:59:59.000000000,21.74972222222222
2017-0152,CICLISTA,BICICLETA,MASCULINO,19.0,2017-12-06 23:59:59.000000000,6.499722222222222
2017-0153,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30.0,2017-12-12 23:59:59.000000000,45.999722222222225
2017-0153,CONDUCTOR,MOTO,MASCULINO,30.0,2017-12-12 23:59:59.000000000,45.999722222222225
2017-0154,PEATON,PEATON,MASCULINO,76.0,2017-12-11 23:59:59.000000000,14.749722222222223
2017-0155,,,MASCULINO,77.0,2018-01-12 16:14:30.600924499,738.813778034583
2017-0157,CONDUCTOR,AUTO,MASCULINO,53.0,2017-12-17 23:59:59.000000000,14.966388888888888
2017-0158,CONDUCTOR,MOTO,MASCULINO,32.0,2017-12-18 23:59:59.000000000,2.499722222222222
2017-0159,CONDUCTOR,MOTO,MASCULINO,27.0,2017-12-20 23:59:59.000000000,19.475555555555555
2017-0160,PEATON,PEATON,FEMENINO,30.0,2017-12-22 23:59:59.000000000,10.749722222222223
2017-0161,PEATON,PEATON,FEMENINO,30.0,2017-12-26 23:59:59.000000000,8.499722222222223
2018-0001,PEATON,PEATON,MASCULINO,83.0,2018-01-02 23:59:59.000000000,25.16638888888889
2018-0002,CICLISTA,BICICLETA,FEMENINO,26.0,2018-01-03 23:59:59.000000000,7.333055555555555
2018-0003,PEATON,PEATON,FEMENINO,58.0,2018-01-05 23:59:59.000000000,13.799722222222222
2018-0004,CONDUCTOR,MOTO,MASCULINO,39.0,2018-01-09 23:59:59.000000000,14.333055555555555
2018-0005,PEATON,PEATON,MASCULINO,54.0,2018-01-09 23:59:59.000000000,1.4997222222222222
2018-0006,CICLISTA,BICICLETA,FEMENINO,45.0,2018-01-10 23:59:59.000000000,2.749722222222222
2018-0007,CONDUCTOR,AUTO,MASCULINO,46.0,2018-01-11 23:59:59.000000000,21.49972222222222
2018-0008,CONDUCTOR,MOTO,FEMENINO,32.0,2018-01-12 23:59:59.000000000,6.166388888888889
2018-0009,CONDUCTOR,MOTO,MASCULINO,19.0,2018-01-14 23:59:59.000000000,21.99972222222222
2018-0010,CONDUCTOR,MOTO,MASCULINO,40.0,2018-01-18 23:59:59.000000000,18.833055555555557
2018-0011,PEATON,PEATON,MASCULINO,84.0,2018-01-19 23:59:59.000000000,13.499722222222223
2018-0012,CONDUCTOR,MOTO,MASCULINO,20.0,2018-01-26 23:59:59.000000000,10.499722222222223
2018-0013,CONDUCTOR,MOTO,MASCULINO,44.0,2018-01-28 23:59:59.000000000,15.749722222222223
2018-0014,PEATON,PEATON,MASCULINO,49.0,2018-02-04 23:59:59.000000000,99.99972222222222
2018-0015,CONDUCTOR,MOTO,MASCULINO,28.0,2018-02-06 23:59:59.000000000,22.99972222222222
2018-0015,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19.0,2018-02-06 23:59:59.000000000,22.99972222222222
2018-0016,CONDUCTOR,MOTO,MASCULINO,31.0,2018-02-15 23:59:59.000000000,13.749722222222223
2018-0017,PEATON,PEATON,MASCULINO,35.0,2018-02-20 23:59:59.000000000,91.74972222222222
2018-0018,CONDUCTOR,MOTO,MASCULINO,26.0,2018-02-17 23:59:59.000000000,16.74972222222222
2018-0019,PEATON,PEATON,FEMENINO,80.0,2018-02-17 23:59:59.000000000,11.499722222222223
2018-0020,CONDUCTOR,MOTO,MASCULINO,26.0,2018-02-19 23:59:59.000000000,1.9997222222222222
2018-0021,PEATON,PEATON,FEMENINO,62.0,2018-02-22 23:59:59.000000000,13.249722222222223
2018-0022,CONDUCTOR,MOTO,MASCULINO,28.0,2018-02-24 23:59:59.000000000,23.99972222222222
2018-0023,CONDUCTOR,MOTO,MASCULINO,28.0,2018-02-24 23:59:59.000000000,17.99972222222222
2018-0024,PEATON,PEATON,MASCULINO,70.0,2018-02-28 23:59:59.000000000,0.9997222222222222
2018-0025,PEATON,PEATON,MASCULINO,70.0,2018-03-05 23:59:59.000000000,25.49972222222222
2018-0026,CONDUCTOR,MOVIL,MASCULINO,24.0,2018-03-09 23:59:59.000000000,19.24972222222222
2018-0026,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,30.0,2018-03-09 23:59:59.000000000,19.24972222222222
2018-0027,PEATON,PEATON,FEMENINO,74.0,2018-03-11 23:59:59.000000000,0.9997222222222222
2018-0028,PEATON,PEATON,MASCULINO,71.0,2018-03-13 23:59:59.000000000,8.249722222222223
2018-0029,CONDUCTOR,MOTO,MASCULINO,26.0,2018-03-15 23:59:59.000000000,5.999722222222222
2018-0030,CONDUCTOR,MOTO,MASCULINO,24.0,2018-03-20 23:59:59.000000000,22.49972222222222
2018-0031,CONDUCTOR,MOTO,MASCULINO,31.0,2018-03-28 23:59:59.000000000,13.749722222222223
2018-0032,PEATON,PEATON,MASCULINO,70.0,2018-04-02 23:59:59.000000000,10.999722222222223
2018-0033,CONDUCTOR,MOTO,FEMENINO,42.0,2018-04-10 23:59:59.000000000,88.49972222222222
2018-0034,PEATON,PEATON,MASCULINO,24.0,2018-04-11 23:59:59.000000000,5.749722222222222
2018-0035,PEATON,PEATON,FEMENINO,39.0,2018-04-12 23:59:59.000000000,7.249722222222222
2018-0036,CONDUCTOR,MOTO,MASCULINO,37.0,2018-04-15 23:59:59.000000000,48.749722222222225
2018-0037,PEATON,PEATON,MASCULINO,84.0,2018-04-19 23:59:59.000000000,29.24972222222222
2018-0038,PEATON,PEATON,FEMENINO,59.0,2018-04-20 23:59:59.000000000,6.833055555555555
2018-0038,PEATON,PEATON,MASCULINO,61.0,2018-04-20 23:59:59.000000000,6.833055555555555
2018-0039,PEATON,PEATON,MASCULINO,37.0,2018-04-21 23:59:59.000000000,1.7497222222222222
2018-0040,PEATON,PEATON,FEMENINO,38.0,2018-04-27 23:59:59.000000000,12.999722222222223
2018-0041,PEATON,PEATON,FEMENINO,78.0,2018-04-27 23:59:59.000000000,10.499722222222223
2018-0042,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,23.0,2018-04-27 23:59:59.000000000,5.283055555555555
2018-0043,CONDUCTOR,MOTO,MASCULINO,25.0,2018-04-29 23:59:59.000000000,41.499722222222225
2018-0044,PEATON,PEATON,FEMENINO,50.0,2018-04-28 23:59:59.000000000,14.999722222222223
2018-0045,CONDUCTOR,AUTO,MASCULINO,60.0,2018-04-30 23:59:59.000000000,16.99972222222222
2018-0046,PEATON,PEATON,MASCULINO,11.0,2018-05-02 23:59:59.000000000,20.74972222222222
